SMAS_ID,COMID,YEAR,LAT,LONG,NOTES,MILES,BASIN,RECENT_SAMPLE_DATE,PREVIOUS_SAMPLE_DATE_1,PREVIOUS_SAMPLE_DATE_2,PREVIOUS_SAMPLE_DATE_3,PREVIOUS_SAMPLE_DATE_4,PREVIOUS_SAMPLE_DATE_5,PREVIOUS_SAMPLE_DATE_6,PREVIOUS_SAMPLE_DATE_7,
05-BAKE-0.3,8110563,2022,42.264939,-77.547768,,0,,8/31/2022,,,,,,,,
05-BWIN-9.5,8117937,2022,42.127712,-76.704839,,0,,9/1/2022,,,,,,,,
05-CAMP- 1.5,8118893,2022,42.358295,-77.390199,Probabilistic/department interest,0,,8/31/2022,,,,,,,,
05-COHO_T1-0.1,8117117,2022,42.563225,-77.510048,,0,,8/31/2022,,,,,,,,
05-COHO-28.6,8118867,2022,42.411703,-77.426762,,0,,8/31/2022,,,,,,,,
05-COHO-4.0,8119059,2022,42.18395,-77.15182,Probabilistic/department interest,0,,8/30/2022,,,,,,,,
05-CRAN-0.1,8110619,2022,42.187154,-77.317665,,0,,8/31/2022,,,,,,,,
05-CRSB-0.2,8110539,2022,42.313588,-77.657531,,0,,8/31/2022,,,,,,,,
05-DIVN_T1-0.4,8117925,2022,42.122616,-76.811108,,0,,9/1/2022,,,,,,,,
05-DRYW-1.4,8118259,2022,42.022302,-76.588967,,0,,9/1/2022,,,,,,,,
05-FIVM-1.2,8118807,2022,42.447262,-77.304766,,0,,8/31/2022,,,,,,,,
05-MDCR-10.0,8118901,2022,42.355513,-77.136042,,0,,8/31/2022,,,,,,,,
05-MEAD-10.8,8118979,2022,42.290289,-77.066961,,0,,8/30/2022,,,,,,,,
05-POSC_T5-0.9,8117697,2022,42.226545,-76.972573,Probabilistic/department interest,0.38,,8/30/2022,,,,,,,,
05-STEO-24.7,8110593,2022,42.24891,-77.45244,,0,,8/31/2022,,,,,,,,
05-STEP-2.7,8110553,2022,42.300705,-77.543593,Probabilistic/department interest,0,,8/31/2022,,,,,,,,
05-TIOG-11.7,8110985,2022,42.019592,-77.128563,,0,,9/1/2022,,,,,,,,
05-TOBE-1.0,8118853,2022,42.407695,-77.05759,Probabilistic/department interest,0,,8/31/2022,,,,,,,,
05-TUSC-9.3,8110719,2022,42.080158,-77.364734,,0,,9/1/2022,,,,,,,,
08-ALDR-2.0,15517510,2022,43.42306,-75.23027,,0,,9/15/2022,,,,,,,,
08-BENE-0.6,15510630,2022,43.681935,-74.703491,,0,,9/14/2022,8/1/2004,,,,,,,
08-BLAC-2.5,15512774,2022,43.87534,-75.37319,,0,,9/13/2022,,,,,,,,
08-BLCK_T58-2.0,15513750,2022,43.615545,-75.387488,,0,,9/13/2022,,,,,,,,
08-BLCK_T8-9.0,15512448,2022,43.982339,-75.802215,,0,,9/13/2022,8/1/2004,,,,,,,
08-COBB-2.2,15512912,2022,43.82389,-75.65334,,0,,9/13/2022,8/1/2004,8/27/2002,,,,,,
08-CUMM-0.1,15514114,2022,43.506198,-75.221461,,0,,9/15/2022,8/1/2004,,,,,,,
08-DEER-2.0,15512584,2022,43.93028,-75.59111,,0,,9/13/2022,8/1/2004,9/26/2007,,,,,,
08-DEER-27.6,15513460,2022,43.723389,-75.70138,,0,,9/13/2022,8/1/2004,,,,,,,
08-LIME-6.3,15510564,2022,43.708504,-74.818199,,0,,9/14/2022,8/1/2004,,,,,,,
08-LWDH-2.7,15517520,2022,43.45528,-75.15278,,0,,9/15/2022,8/1/2004,8/28/2002,,,,,,
08-MBLC-0.1,15510892,2022,43.553273,-74.907832,,0,,9/15/2022,,,,,,,,
08-MLLL_T7-0.8,15513088,2022,43.7903,-75.546073,,0,,9/14/2022,8/1/2004,,,,,,,
08-MURM_T2-0.1,15512608,2022,43.910741,-75.366559,,0,,9/13/2022,8/1/2004,,,,,,,
08-NMOO-0.7,15510434,2022,43.80832,-74.851371,,0,,9/14/2022,8/1/2004,,,,,,,
08-NSUG_T8-0.1,15513716,2022,43.609708,-75.481573,,0,,9/15/2022,,,,,,,,
08-ROAR-2.2,15513298,2022,43.74124,-75.42461,Also picked for probabilistic,0,,9/14/2022,,,,,,,,
08-SUGR-3.3,15513984,2022,43.53194,-75.35056,,0,,,8/1/2004,8/28/2002,,,,,,
08-SUMN_T1-0.1,15510606,2022,43.682873,-74.665813,,0,,9/14/2022,,,,,,,,
08-SWIS-2.6,15514254,2022,43.937194,-75.50738,,0,,9/13/2022,8/1/2004,,,,,,,
08-TANE-0.7,15513494,2022,43.67705,-75.34291,,0,,9/14/2022,8/1/2004,,,,,,,
08-TWIN-1.0,15516808,2022,43.4507,-75.014745,,0,,9/15/2022,8/1/2004,,,,,,,
13-BASC-4.7,6189556,2022,42.412612,-74.035523,,0,,7/20/2022,,,,,,,,
13-CLDS-4.3,6211544,2022,41.931313,-73.725833,,0,,7/19/2022,,,,,,,,
13-CLOV_T2-0.2,6215708,2022,41.493534,-73.912504,,0,,7/20/2022,,,,,,,,
13-COXS-0.5,6193926,2022,42.3905,-73.80139,,0,,7/20/2022,,,,,,,,
13-JACK-5.8,6211982,2022,41.662908,-73.736386,,0,,7/20/2022,,,,,,,,
13-JDBA-3.5,6188374,2022,42.366627,-73.990344,,0,,7/21/2022,,,,,,,,
13-KAAT-8.4,6188680,2022,42.180528,-73.940247,,0,,7/21/2022,,,,,,,,
13-MONH-4.9,6201874,2022,41.438813,-74.418355,,0,,7/20/2022,,,,,,,,
13-MUSC-8.4,6227362,2022,41.33306,-73.76472,,0,,7/20/2022,,,,,,,,
13-ROND_T18-0.2,6199854,2022,41.797055,-74.211691,,0,,7/20/2022,,,,,,,,
13-TIOR-0.2,6230332,2022,41.24349,-74.02654,,0,,7/20/2022,,,,,,,,
13-VERK-2.9,6200034,2022,41.647772,-74.323771,,0,,7/21/2022,,,,,,,,
13-WAPP_E-3.2,6211790,2022,41.783307,-73.743288,,0,,7/21/2022,,,,,,,,
13-WOOD_T6B-0.8,6217514,2022,41.368652,-74.122159,,0,,7/20/2022,,,,,,,,
13-WYNT-12.0,6185884,2022,42.623612,-73.571242,,0,,7/20/2022,,,,,,,,
02-ALGY-28.6,8969978,2021,42.085537,-78.639667,,0,,9/15/2021,,,,,,,,
02-CASS-2.3,15444961,2021,42.090423,-79.145993,,0,,9/16/2021,,,,,,,,
02-CSPG-4.3,8969146,2021,42.141322,-78.899965,,0,,9/15/2021,,,,,,,,
02-FREN-8.9,9049187,2021,42.069869,-79.705022,,0,,9/15/2021,,,,,,,,
02-GRIF-1.4,8968896,2021,42.20654,-78.277248,,0,,9/14/2021,,,,,,,,
02-GVAL-7.3,8968962,2021,42.200219,-78.655695,,0,,9/15/2021,,,,,,,,
02-JHNS-1.0,8968570,2021,42.376836,-78.447366,,0,,9/14/2021,,,,,,,,
02-QRUN-0.3,8969544,2021,42.019177,-78.84248,,0,,9/15/2021,,,,,,,,
02-SLAB_Ta-2.1,15444707,2021,42.418377,-79.028508,,0,,9/16/2021,,,,,,,,
02-STRW-5.0,8970380,2021,42.003423,-79.570392,,0,,9/15/2021,,,,,,,,
02-TWTY-4.0,15444849,2021,42.233662,-79.180653,,0,,9/16/2021,,,,,,,,
02-WANG_W-8.4,15444705,2021,42.426207,-79.169149,,0,,9/16/2021,,,,,,,,
02-WANG-3.1,15445033,2021,42.014242,-79.151291,,0,,9/15/2021,,,,,,,,
07-BUTW-1.3,21983105,2021,42.447166,-76.923261,,0,,7/15/2021,,,,,,,,
07-BVRK-5.8,21982173,2021,42.922841,-77.339701,,0,,9/8/2021,,,,,,,,
07-CRAN-6.4,21977071,2021,42.975315,-76.650968,,0,,7/28/2021,,,,,,,,
07-DUBL-3.3,21977059,2021,42.961095,-76.911714,,0,,7/28/2021,,,,,,,,
07-ENFD-3.5,21983355,2021,42.408856,-76.604618,,0,,9/9/2021,,,,,,,,
07-FALL_T9-0.2,21983085,2021,42.473181,-76.404382,,0,,7/15/2021,,,,,,,,
07-FIEL-1.8,21976155,2021,43.014515,-77.140109,,0,,7/28/2021,,,,,,,,
07-FURC_Tc-0.5,22023176,2021,43.350229,-75.659479,,0,,7/27/2021,,,,,,,,
07-KDIG_Tb-0.7,21977699,2021,42.822612,-76.90064,,0,,7/14/2021,,,,,,,,
07-LIME-13,22026522,2021,42.922085,-75.907909,,0,,9/1/2021,,,,,,,,
07-SCON-6.3,22024116,2021,43.083089,-75.543934,,0,,7/20/2021,,,,,,,,
11-BATT-18.0,22288297,2021,43.133683,-73.353832,,0,,8/5/2021,,,,,,,,
11-DOIG-4.5,22296000,2021,43.355561,-74.23794,,0,,7/29/2021,,,,,,,,
11-HOOS-22.7,22290307,2021,42.932936,-73.370978,,0,,8/4/2021,,,,,,,,
11-HOOS-3.1,22290491,2021,42.904942,-73.641283,,0,,8/3/2021,,,,,,,,
11-JESS-2.0,22306039,2021,43.588208,-74.395554,,0,,8/3/2021,,,,,,,,
11-SNOK-11.5,22287983,2021,43.182937,-73.721986,,0,,8/4/2021,,,,,,,,
11-SQWA-0.1,22305907,2021,43.742414,-74.341618,,0,,8/3/2021,,,,,,,,
11-TOWR-0.4,22295702,2021,43.48016,-74.232923,,0,,8/5/2021,,,,,,,,
11-UHUD-267.8,22304859,2021,43.702565,-73.957596,,0,,8/3/2021,,,,,,,,
01-CAZE_E_T9-1.5,15575299,2020,42.73498573,-78.57163373,,0,,9/15/2020,,,,,,,,
01-CLAR-18.5,15582177,2020,42.49466373,-78.82008473,,0,,9/16/2020,,,,,,,,
01-CONN-2.5,15582313,2020,42.45,-78.73,,0,,9/16/2020,8/25/2010,,,,,,,
01-HAMP-3.6,15575641,2020,42.67,-78.82,,0,,9/15/2020,,,,,,,,
01-SILV_T8_1_1-1.0,9840076,2020,42.44930573,-79.04752373,,0,,9/16/2020,,,,,,,,
01-SMOK-2.9,15575189,2020,42.77919273,-78.71674573,,0,,9/16/2020,,,,,,,,
