FID,Shape,siteID,xcoord,ycoord,mdcaty,wgt,stratum,panel,EvalStatus,EvalReason,status,COMID,LongitudeDD,LatitudeDD,GNIS_NAME,FDATE,RESOLUTION,GNIS_ID,LENGTHKM,REACHCODE,FLOWDIR,FCODE,FTYPE,DES_FTYPE,STATE,MAJ_RIVER,MAJ_RIV_NM,NRSA_NAME,HUC8,SO,US_L4CODE,US_L4NAME,US_L3CODE,US_L3NAME,NA_L3CODE,NA_L3NAME,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,STATE_NAME,WSA_9,WSA_9_NM,WSA_3,FEAT_NAME,OWNER,OWNER_CAT,OWNER_ADM,OWNER_CAT2,URBAN,FRAME14,sort_id,PSTL_CODE,STRAH_CAT,DES_CAT,DES_NRSA14,Basin
0,Point,NY18-1001,1332634.097,626473.1299,3rd,131.644461,Allegheny_River_NRSA14_ST,Base,NotEval,ts-moved to existing site < 2 miles away,TS,9049187,-79.705022,42.069869,French Creek,8/1/2004,Medium,950689,8.290878,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,French Creek,5010004,3,61c,Low Lime Drift Plain,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,49898,NY,LargeStreams,StreamsLarge,LargeStreams,Allegheny_River
1,Point,NY18-1002,1368986.481,673335.2724,1st,511.964212,Allegheny_River_NRSA14_ST,Base,NotEval,ts-moved to road crossing,TS,15444705,-79.169149,42.426207, ,8/1/2004,Medium, ,3.625214,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , , ,5010002,1,61c,Low Lime Drift Plain,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,50025,NY,SmallStreams,StreamsSmall,SmallStreams,Allegheny_River
2,Point,NY18-1003,1396347.794,645901.1622,3rd,131.644461,Allegheny_River_NRSA14_ST,Base,NotEval,ts,TS,8969146,-78.899965,42.141322,Cold Spring Creek,8/1/2004,Medium,947071,0.93124,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Cold Spring Creek,5010001,3,60a,Glaciated Low Allegheny Plateau,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,49351,NY,LargeStreams,StreamsLarge,LargeStreams,Allegheny_River
3,Point,NY18-1004,1445264.645,662383.0925,3rd,131.644461,Allegheny_River_NRSA14_ST,Base,NotEval,ts-moved to road crossing,TS,8968896,-78.277248,42.20654,Griffin Creek,8/1/2004,Medium,951818,2.914179,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Griffin Creek,5010001,3,60e,Glaciated Allegheny Hills,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,49218,NY,LargeStreams,StreamsLarge,LargeStreams,Allegheny_River
4,Point,NY18-1005,1368166.824,643420.6327,3rd,131.644461,Allegheny_River_NRSA14_ST,Base,NotEval,ts-moved to existing site,PB,15445101,-79.243195,42.164141,Cassadaga Creek,8/1/2004,Medium,945972,9.912136,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Cassadaga Creek,5010002,3,61c,Low Lime Drift Plain,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,50217,NY,LargeStreams,StreamsLarge,LargeStreams,Allegheny_River
5,Point,NY18-1006,1378549.103,628243.7912,4th+,121.697539,Allegheny_River_NRSA14_ST,Base,NotEval,ts-moved to road crossing,TS,15445033,-79.151291,42.014242,Conewango Creek,8/1/2004,Medium,1210156,4.608434,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Conewango Creek,5010002,5,61c,Low Lime Drift Plain,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,50191,NY,Rivers,RiversOther,RiversOther,Allegheny_River
6,Point,NY18-1007,1380460.081,674508.0992,1st,511.964212,Allegheny_River_NRSA14_ST,Base,NotEval,"ts-moved to road crossing, above marsh area",TS,15444707,-79.028508,42.418377, ,8/1/2004,Medium, ,7.242401,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , , ,5010002,1,61c,Low Lime Drift Plain,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,50026,NY,SmallStreams,StreamsSmall,SmallStreams,Allegheny_River
7,Point,NY18-1008,1435642.272,650070.4523,4th+,121.697539,Allegheny_River_NRSA14_ST,Base,NotEval,ts-moved to existing site,PB,8969210,-78.42017,42.114232,Olean Creek,8/1/2004,Medium,959339,1.410436,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Olean Creek,5010001,5,62d,Unglaciated High Allegheny Plateau,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,49379,NY,Rivers,RiversOther,RiversOther,Allegheny_River
8,Point,NY18-1009,1342938.282,637694.9748,1st,511.964212,Allegheny_River_NRSA14_ST,Base,NotEval,"ts-moved to road crossing <2 miles away, no tribs",PB,9049121,-79.558008,42.152927, ,8/1/2004,Medium, ,5.768119,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , , ,5010004,1,61c,Low Lime Drift Plain,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,49872,NY,SmallStreams,StreamsSmall,SmallStreams,Allegheny_River
9,Point,NY18-1010,1414878.369,655993.2091,4th+,121.697539,Allegheny_River_NRSA14_ST,Base,NotEval,"ts-moved to road crossing, above marsh area",TS,8968962,-78.655695,42.200219,Great Valley Creek,8/1/2004,Medium,951653,1.554935,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Great Valley Creek,5010001,4,62d,Unglaciated High Allegheny Plateau,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,49252,NY,LargeStreams,StreamsLarge,LargeStreams,Allegheny_River
